"Employed people"
,"Trend ('000)","Seasonally adjusted ('000)"
"Jan-13","11,422.3","11,464.4"
"Feb-13","11,435.9","11,465.8"
"Mar-13","11,447.1","11,434.0"
"Apr-13","11,455.4","11,466.3"
"May-13","11,461.4","11,458.4"
"Jun-13","11,465.4","11,471.9"
"Jul-13","11,467.7","11,457.5"
"Aug-13","11,467.1","11,460.2"
"Sep-13","11,463.0","11,476.9"
"Oct-13","11,457.2","11,470.9"
"Nov-13","11,453.6","11,449.6"
"Dec-13","11,454.9","11,416.9"
"Jan-14","11,463.2","11,453.3"
"Feb-14","11,477.9","11,475.8"
"Mar-14","11,496.9","11,531.0"
"Apr-14","11,515.7","11,536.8"
"May-14","11,530.0","11,514.0"
"Jun-14","11,538.8","11,530.9"
"Jul-14","11,544.1","11,546.5"
"Aug-14","11,548.2","11,549.5"
"Sep-14","11,554.2","11,549.0"
"Oct-14","11,564.2","11,543.1"
"Nov-14","11,578.4","11,543.6"
"Dec-14","11,597.4","11,595.4"
"Jan-15","11,620.5","11,606.3"
"Feb-15","11,646.1","11,672.1"
"Mar-15","11,671.9","11,692.4"
"Apr-15","11,695.4","11,691.2"
"May-15","11,716.7","11,734.8"
"Jun-15","11,737.7","11,730.5"
"Jul-15","11,760.7","11,761.6"
"Aug-15","11,787.9","11,772.0"
"Sep-15","11,819.0","11,786.2"
"Oct-15","11,850.4","11,862.0"
"Nov-15","11,880.2","11,895.6"
"Dec-15","11,904.8","11,902.7"
"Jan-16","11,922.3","11,908.4"
"Feb-16","11,934.7","11,923.8"
"Mar-16","11,944.1","11,941.1"
"Apr-16","11,953.4","11,947.5"
"May-16","11,962.8","11,943.5"
"Jun-16","11,971.2","11,967.3"
"Jul-16","11,978.7","11,996.7"
"Aug-16","11,985.8","11,972.9"
"Sep-16","11,992.4","11,956.1"
"Oct-16","11,999.6","11,987.6"
"Nov-16","12,008.6","12,011.7"
"Dec-16","12,021.2","12,030.9"
"Jan-17","12,041.1","12,052.1"
"Feb-17","12,068.8","12,052.4"
"Mar-17","12,104.0","12,117.2"
"Apr-17","12,145.3","12,169.9"
"May-17","12,188.3","12,192.1"
"Jun-17","12,229.6","12,230.2"
"Jul-17","12,267.6","12,256.5"
"Aug-17","12,302.1","12,311.7"
"Sep-17","12,334.7","12,346.1"
"Oct-17","12,366.4","12,354.9"
"Nov-17","12,397.4","12,406.7"
"Dec-17","12,425.8","12,441.7"
"Jan-18","12,449.3","12,481.4"
"Feb-18","12,467.3","12,471.9"
"Mar-18","12,482.5","12,488.7"
"Apr-18","12,498.0","12,505.9"
"May-18","12,517.2","12,498.3"
"Jun-18","12,542.0","12,576.7"
"Jul-18","12,570.4","12,566.2"
"Aug-18","12,600.6","12,612.5"
"Sep-18","12,630.7","12,630.5"
"Oct-18","12,658.1","12,660.1"
"Nov-18","12,682.0","12,690.0"
"Dec-18","12,704.4","12,705.7"
"Jan-19","12,728.3","12,743.4"
"Feb-19","12,754.8","12,737.9"
"Mar-19","12,784.2","12,774.3"
"Apr-19","12,815.9","12,812.3"
"May-19","12,847.5","12,837.2"
"Jun-19","12,875.6","12,854.6"
"Jul-19","12,897.4","12,872.4"
"Aug-19","12,913.0","12,919.8"
"Sep-19","12,924.1","12,943.8"
"Oct-19","12,935.1","12,909.2"
"Nov-19","12,948.1","12,939.3"
"Dec-19","12,962.2","12,960.6"
"Jan-20","12,973.1","12,982.8"
"Feb-20","12,978.5","12,990.5"
"Mar-20","12,978.2","12,990.6"
"Apr-20",,"12,400.3"
"May-20",,"12,114.2"
"Jun-20",,"12,352.1"
"Jul-20",,"12,454.0"
"Aug-20",,"12,609.2"
"Sep-20",,"12,576.2"
"Oct-20",,"12,736.2"
"Nov-20",,"12,813.6"
"Dec-20",,"12,853.1"
"Jan-21",,"12,888.7"
"Feb-21",,"12,963.7"
"Mar-21",,"13,037.4"
"Apr-21",,"13,013.7"
"May-21",,"13,104.0"
"Jun-21",,"13,132.5"
"Jul-21",,"13,130.2"
"Aug-21",,"12,999.5"
"Sep-21",,"12,873.7"
"Oct-21",,"12,831.7"
"Nov-21",,"13,202.0"
"Dec-21",,"13,282.9"
"Jan-22",,"13,327.8"
"Feb-22",,"13,420.9"
"Mar-22",,"13,453.2"
"Apr-22","13,511.2","13,479.6"
"May-22","13,556.0","13,536.3"
"Jun-22","13,593.2","13,622.9"
"Jul-22","13,625.9","13,601.5"
"Aug-22","13,656.1","13,649.2"
"Sep-22","13,683.7","13,658.0"
"Oct-22","13,707.3","13,697.9"
"Nov-22","13,726.8","13,753.3"
"Dec-22","13,741.9","13,733.4"
"Jan-23","13,753.2","13,721.9"

"Large month-to-month changes occurred during the COVID-19 pandemic, resulting in multiple trend breaks. The ABS recommends caution when using trend estimates published in spreadsheets in this release for this period. Information on trend breaks can be found in <a href=""/methodologies/labour-force-australia-methodology/jan-2023"">Labour Force, Australia methodology, January 2023</a>."

"Source: Australian Bureau of Statistics, Labour Force, Australia January 2023"
