Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086282,2023,01,01,35.1,1,N
IDCJAC0010,086282,2023,01,02,32.0,1,N
IDCJAC0010,086282,2023,01,03,21.2,1,N
IDCJAC0010,086282,2023,01,04,17.9,1,N
IDCJAC0010,086282,2023,01,05,21.9,1,N
IDCJAC0010,086282,2023,01,06,25.5,1,N
IDCJAC0010,086282,2023,01,07,30.2,1,N
IDCJAC0010,086282,2023,01,08,31.8,1,N
IDCJAC0010,086282,2023,01,09,28.6,1,N
IDCJAC0010,086282,2023,01,10,24.0,1,N
IDCJAC0010,086282,2023,01,11,33.5,1,N
IDCJAC0010,086282,2023,01,12,26.7,1,N
IDCJAC0010,086282,2023,01,13,27.0,1,N
IDCJAC0010,086282,2023,01,14,37.4,1,N
IDCJAC0010,086282,2023,01,15,20.2,1,N
IDCJAC0010,086282,2023,01,16,27.7,1,N
IDCJAC0010,086282,2023,01,17,37.0,1,N
IDCJAC0010,086282,2023,01,18,18.6,1,N
IDCJAC0010,086282,2023,01,19,18.9,1,N
IDCJAC0010,086282,2023,01,20,22.9,1,N
IDCJAC0010,086282,2023,01,21,25.9,1,N
IDCJAC0010,086282,2023,01,22,25.2,1,N
IDCJAC0010,086282,2023,01,23,28.3,1,N
IDCJAC0010,086282,2023,01,24,28.2,1,N
IDCJAC0010,086282,2023,01,25,32.4,1,N
IDCJAC0010,086282,2023,01,26,23.3,1,N
IDCJAC0010,086282,2023,01,27,28.9,1,N
IDCJAC0010,086282,2023,01,28,34.9,1,N
IDCJAC0010,086282,2023,01,29,23.9,1,N
IDCJAC0010,086282,2023,01,30,21.9,1,N
IDCJAC0010,086282,2023,01,31,23.6,1,N
IDCJAC0010,086282,2023,02,01,21.1,1,N
IDCJAC0010,086282,2023,02,02,22.6,1,N
IDCJAC0010,086282,2023,02,03,17.8,1,N
IDCJAC0010,086282,2023,02,04,22.0,1,N
IDCJAC0010,086282,2023,02,05,20.3,1,N
IDCJAC0010,086282,2023,02,06,22.2,1,N
IDCJAC0010,086282,2023,02,07,22.3,1,N
IDCJAC0010,086282,2023,02,08,23.5,1,N
IDCJAC0010,086282,2023,02,09,28.9,1,N
IDCJAC0010,086282,2023,02,10,28.2,1,N
IDCJAC0010,086282,2023,02,11,29.5,1,N
IDCJAC0010,086282,2023,02,12,21.5,1,N
IDCJAC0010,086282,2023,02,13,21.4,1,N
IDCJAC0010,086282,2023,02,14,23.1,1,N
IDCJAC0010,086282,2023,02,15,33.5,1,N
IDCJAC0010,086282,2023,02,16,37.5,1,N
IDCJAC0010,086282,2023,02,17,41.3,1,N
IDCJAC0010,086282,2023,02,18,24.6,1,N
IDCJAC0010,086282,2023,02,19,29.1,1,N
IDCJAC0010,086282,2023,02,20,27.2,1,N
IDCJAC0010,086282,2023,02,21,21.6,1,N
IDCJAC0010,086282,2023,02,22,30.3,1,N
IDCJAC0010,086282,2023,02,23,32.1,1,N
IDCJAC0010,086282,2023,02,24,32.9,1,N
IDCJAC0010,086282,2023,02,25,27.3,1,N
IDCJAC0010,086282,2023,02,26,25.9,1,N
IDCJAC0010,086282,2023,02,27,20.6,1,N
IDCJAC0010,086282,2023,02,28,16.6,1,N
IDCJAC0010,086282,2023,03,01,21.9,1,N
IDCJAC0010,086282,2023,03,02,21.1,1,N
IDCJAC0010,086282,2023,03,03,20.9,1,N
IDCJAC0010,086282,2023,03,04,31.5,1,N
IDCJAC0010,086282,2023,03,05,34.8,1,N
